observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
10770,298.09641310232428,277383968417,1,7.8177014365792274,7.5475,8.002816,1.8776,16582,0.001024,3.17184,,0.046079999999999996,0.154368,0,0.134912,0.007424,0.009472,,0.0038399999999999997,,2.20416,10770,7908,517,0.83630140000013853
10771,298.10438430413831,277384043892,1,7.9712020233273506,8.3106,7.789824,2.2925,15899,0.001024,3.304448,,0.040704,0.15462399999999998,0,0.135424,0.013056,0.000256,,0.022528,,1.747712,10771,7909,517,0.84517150000010588
10772,298.11276640447846,277384126998,1,8.3821006119251251,8.3181,7.950336,2.253,16387,0.001024,3.2350719999999997,,0.038911999999999995,0.15001599999999998,0,0.131584,0.004096,0.009984,,0.004096,,2.0152319999999997,10772,7910,517,0.852667399999973
10773,298.12063500566893,277384210179,1,7.8686010092496872,7.5556,8.206336,1.7483,15899,0.001024,3.18336,,0.040448,0.15744,0,0.137984,0.006656,0.009984,,0.004608,,2.32064,10773,7911,517,0.86071429999992688
10774,298.12866040249435,277384285735,1,8.0253966152668,8.6185,7.844864,1.7916,16387,0.001024,3.181568,,0.042752,0.15795199999999998,0,0.13952,0.007424,0.009472,,0.005888,,2.028288,10774,7912,517,0.86840119999988019
10775,298.13630300453514,277384371920,1,7.6426020823419094,7.7726,8.000256,1.8409,15899,0.001024,3.276032,,0.039936,0.15564799999999998,0,0.13568,0.0076799999999999993,0.009984,,0.0048639999999999994,,1.9246079999999999,10775,7913,517,0.87618440000005648
10776,298.14392580073695,277384449646,1,7.6227961108088493,7.9536,7.6288,1.7892,16589,0.001024,3.2363519999999997,,0.039936,0.155904,0.000256,0.136192,0.0076799999999999993,0.010239999999999999,,0.004608,,1.920256,10776,7914,517,0.88380319999987478
10777,298.15207650226756,277384529182,1,8.15070141106844,7.7831,7.609088,1.8734,29239,0.001024,3.1744,,0.035584,0.158976,0,0.140288,0.005376,0.009216,,0.004096,,2.05056,10777,7915,517,0.89218410000012227
10778,298.16014860402493,277384607013,1,8.0721015110611916,7.6164,8.114432,1.8881,16387,0.001024,3.296512,,0.040192,0.15462399999999998,0.000256,0.13516799999999998,0.011519999999999999,0.0097279999999999988,,0.004096,,1.747712,10778,7916,517,0.89984340000000884
10779,298.16780490362811,277384683177,1,7.6562995091080666,7.7985,8.064768,2.1497,15899,0.001024,3.236608,,0.038911999999999995,0.164096,0,0.14438399999999998,0.007936,0.010496,,0.003584,,2.088448,10779,7917,517,0.90780799999993178
10780,298.175836699263,277384761162,1,8.0317957326769829,8.3302,7.638784,2.0549,16387,0.001024,3.18336,,0.042496,0.15564799999999998,0,0.137728,0.007936,0.0097279999999999988,,0.004352,,1.933312,10780,7918,517,0.9157799999998133
10781,298.1835417020975,277384844464,1,7.705003023147583,7.7149,8.017152,1.9977,15899,0.001024,3.1751679999999998,,0.040704,0.15488,0,0.13516799999999998,0.007424,0.000256,,0.014336,,2.012672,10781,7919,517,0.92369270000017423
10782,298.1916771045918,277384921613,1,8.135402575135231,7.9467,7.644672,2.5011,16387,0.001024,3.18464,,0.038655999999999996,0.1536,0.000256,0.13516799999999998,0.007424,0.009984,,0.003584,,2.044672,10782,7920,517,0.93143400000008114
