observation_frame,unscaled_time,frame_timing_timestamp,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
6698,112.50906110402494,19037856967423,7.394302636384964,8.0417,7.839232,1.7881,14475,0.001024,,,,0.166912,0.000256,0.146432,0.006144,,,,,2.1294079999999997
6699,112.51713550170068,19037857047840,8.0743972212076187,7.4785,7.40096,1.8753,14475,0.001024,,,,0.155904,0,0.13644799999999999,0.0076799999999999993,,,,,1.6099839999999999
6700,112.52475179988662,19037857122625,7.6162982732057571,8.1043,8.055296,2.0889,14822,0.001024,,,,0.151552,0.000256,0.131328,0.007424,,,,,1.7704959999999998
6701,112.53251640447846,19037857203668,7.7646044082939625,7.2711,7.573504,1.8985,14475,0.001024,,,,0.393984,0,0.144128,0.0097279999999999988,,,,,1.6081919999999998
6702,112.54015950255102,19037857276379,7.6430980116128922,7.9819,7.8016,1.8456,14475,0.001024,,,,0.16,0,0.140544,0.009216,,,,,1.6051199999999999
6703,112.54779240362811,19037857356198,7.6329009607434273,7.8813,7.629568,1.81,14475,0.001024,,,,0.15334399999999998,0,0.133376,0.0076799999999999993,,,,,1.8626559999999999
6704,112.55590350056688,19037857435011,8.1110969185829163,7.5045,7.54048,1.9105,14475,0.001024,,,,0.149248,0,0.12953599999999998,0.0076799999999999993,,,,,1.604096
6705,112.56370280612245,19037857510056,7.7993054874241352,8.1138,7.870208,2.0254,14475,0.001024,,,,0.155136,0.000256,0.13568,0.003328,,,,,1.782784
6706,112.57156530612245,19037857591194,7.8624999150633812,7.807,7.7824,1.8856,14475,0.0012799999999999999,,,,0.15488,0,0.13516799999999998,0.007424,,,,,2.203904
6707,112.57904690334466,19037857669264,7.481597363948822,7.7859,7.770368,2.0382,14475,0.001024,,,,0.15923199999999998,0,0.13849599999999998,0.004608,,,,,1.6066559999999999
6708,112.58703560090703,19037857747123,7.988697849214077,7.5545,7.52512,1.9152,14475,0.001024,,,,0.150272,0,0.131328,0.007936,,,,,2.1143039999999997
6709,112.59519379960317,19037857822668,8.1581985577940941,8.2292,7.759616,1.9232,14527,0.001024,,,,0.15334399999999998,0,0.133376,0.0076799999999999993,,,,,1.775104
6710,112.60275800028344,19037857904960,7.5642005540430546,7.2609,8.143616,2.027,14475,0.001024,,,,0.156416,0.000256,0.136704,0.0076799999999999993,,,,,2.314752
6711,112.61074720096371,19037857977569,7.9892007634043694,8.3677,7.53152,2.0098,14475,0.001024,,,,0.160512,0,0.141568,0.0076799999999999993,,,,,1.8739199999999998
6712,112.61848780470521,19037858061246,7.7406037598848343,7.9904,7.83232,1.8127,14475,0.001024,,,,0.152832,0,0.133632,0.0076799999999999993,,,,,1.7792
6713,112.62579810090702,19037858141150,7.3102964088320732,7.3902,7.6096,1.844,14677,0.0012799999999999999,,,,0.159744,0.000256,0.140544,0.007424,,,,,2.234368
6714,112.63369109977324,19037858215052,7.8929988667368889,7.7212,7.3024,1.9858,14475,0.001024,,,,0.1536,0,0.1344,0.003584,,,,,1.60896
6715,112.64129250283446,19037858292264,7.6014031656086445,7.8493,7.798784,1.7331,21037,0.001024,,,,0.153856,0,0.133632,0.007424,,,,,1.6066559999999999
6716,112.64885850340136,19037858370757,7.566000334918499,7.2406,7.506944,1.8561,14475,0.001024,,,,0.15103999999999998,0.000256,0.13183999999999998,0.0076799999999999993,,,,,1.8659839999999999
6717,112.65702589994331,19037858443163,8.1673962995409966,7.9525,7.619072,2.0537,14475,0.001024,,,,0.154112,0,0.1344,0.007424,,,,,1.6081919999999998
6718,112.66445179988662,19037858522688,7.4259000830352306,8.1221,8.1472,1.8779,14475,0.001024,,,,0.163072,0,0.143616,0.005888,,,,,2.025984
6719,112.67238110119047,19037858603909,7.9293008893728256,7.1279,7.419136,1.8319,14475,0.001024,,,,0.153088,0,0.133632,0.007424,,,,,1.605632
6720,112.68010560515873,19037858675188,7.7245039865374565,8.0249,7.897344,2.0087,14475,0.001024,,,,0.14976,0,0.129792,0.003584,,,,,1.878528
6721,112.68803000283447,19037858755437,7.9243974760174751,8.1659,7.70176,1.9537,14475,0.001024,,,,0.152064,0.000256,0.132608,0.0076799999999999993,,,,,1.7704959999999998
6722,112.6958838010204,19037858837096,7.8537985682487488,7.6658,7.836928,1.8813,14475,0.001024,,,,0.15462399999999998,0,0.13568,0.004608,,,,,1.611264
6723,112.70351810515872,19037858913754,7.6343039982020855,7.2597,7.905792,1.896,14475,0.001024,,,,0.152576,0,0.132608,0.00896,,,,,2.138624
6724,112.71171220238095,19037858986351,8.1940973177552223,7.942,7.558912,2.0423,14475,0.001024,,,,0.16,0,0.140544,0.0076799999999999993,,,,,1.7738239999999998
6725,112.7196608064059,19037859065771,7.9486044123768806,8.0789,8.155392,1.8328,14475,0.001024,,,,0.156672,0,0.13696,0.007936,,,,,1.855488
6726,112.72721969954648,19037859146560,7.558892946690321,7.3746,7.928832,1.8925,14677,0.001024,,,,0.15872,0,0.139008,0.0076799999999999993,,,,,1.763328
6727,112.734995904195,19037859220306,7.7762044966220856,8.2631,7.594496,1.9114,14475,0.001024,,,,0.158208,0.000256,0.139008,0.008192,,,,,1.607424
6728,112.7429713010204,19037859302937,7.9753967002034187,7.9764,7.764736,1.8282,14475,0.001024,,,,0.164096,0,0.144896,0.011264,,,,,2.121984
6729,112.75072320011337,19037859382701,7.7518993057310581,7.4122,7.899392,1.9169,14475,0.001024,,,,0.15334399999999998,0,0.133632,0.005632,,,,,1.771008
6730,112.75872510629252,19037859456823,8.0019058659672737,8.2713,7.78112,1.8649,14475,0.001024,,,,0.162048,0,0.142336,0.007424,,,,,1.608704
6731,112.76640220379818,19037859539536,7.6770973391830921,7.5476,7.922432,1.7904,14475,0.001024,,,,0.150528,0,0.130048,0.007424,,,,,1.7722879999999999
6732,112.77394010062358,19037859615012,7.5378967449069023,7.8951,7.656704,1.9143,14475,0.001024,,,,0.158208,0,0.13747199999999998,0.0038399999999999997,,,,,1.60384
6733,112.78192490079364,19037859693963,7.9848002642393112,7.9294,7.508992,1.781,14475,0.001024,,,,0.160512,0,0.141824,0.007424,,,,,1.604352
