observation_frame,unscaled_time,frame_timing_timestamp,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
4726,97.435321704931965,19037706237881,7.6871030032634735,7.4667,7.598336,1.8179,14475,0.001024,,,,0.15923199999999998,0,0.13977599999999998,0.004096,,,,,1.844992
4727,97.442635005668933,19037706312548,7.3133008554577827,7.7095,7.665408,1.7619,37830,0.001024,,,,0.154368,0.000256,0.134656,0.004352,,,,,1.758208
4728,97.450864101473925,19037706389643,8.2290954887866974,7.4253,7.296512,1.9961,34789,0.001024,,,,0.149248,0,0.12953599999999998,0.007424,,,,,1.595648
4729,97.458138102324256,19037706463896,7.2740009054541588,7.4779,8.200192,1.8217,14475,0.001024,,,,0.154368,0,0.13414399999999999,0.010239999999999999,,,,,2.32448
4730,97.4656086026077,19037706538675,7.4705001898109913,7.2641,7.251456,1.8432,14475,0.001024,,,,0.152064,0,0.13286399999999998,0.004352,,,,,1.595904
4731,97.473267800453513,19037706611316,7.65919778496027,8.4447,7.456512,1.8786,14475,0.001024,,,,0.155136,0.000256,0.135936,0.004096,,,,,1.5966719999999999
4732,97.4804919005102,19037706695763,7.2241001762449741,7.2649,7.638784,2.452,14475,0.001024,,,,0.151808,0.000256,0.132096,0.003072,,,,,1.87136
4733,97.4879669005102,19037706768412,7.474999874830246,7.7105,7.198208,2.0017,14475,0.001024,,,,0.15462399999999998,0,0.13516799999999998,0.0038399999999999997,,,,,1.59616
4734,97.495912705498867,19037706845517,7.9458048567175865,7.191,7.4624,1.8263,14475,0.0048639999999999994,,,,0.15692799999999998,0,0.13696,0.007424,,,,,1.598976
4735,97.503618402777775,19037706917427,7.7056973241269588,7.4192,7.934976,1.9979,14595,0.001024,,,,0.15488,0,0.13516799999999998,0.0076799999999999993,,,,,2.0055039999999997
4736,97.511578202947845,19037706991619,7.9597998410463333,7.4539,7.680512,1.7527,21264,0.001024,,,,0.15129599999999999,0,0.132352,0.011519999999999999,,,,,1.59616
4737,97.519051303854866,19037707066158,7.473100908100605,7.9118,7.928064,1.8216,14475,0.001024,,,,0.15744,0.000256,0.137728,0.007936,,,,,1.846272
4738,97.526164299886617,19037707145276,7.1129961870610714,8.0976,7.45344,1.9508,14475,0.001024,,,,0.161024,0,0.141568,0.007936,,,,,1.59872
