observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
12347,86.380775297619039,19072748732664,1,7.1305981837213039,7.8076,7.007232,2.9681,14555,0.001024,3.193856,,0.035072,0.15488,0,0.1344,0.003328,0.011519999999999999,,0.002304,,1.077504
12348,86.388021102607709,19072748810740,1,7.2458051145076752,7.3587,7.112704,3.5473,14757,0.0012799999999999999,3.1831039999999997,,0.035584,0.15795199999999998,0,0.135936,0.003328,0.011776,,0.0025599999999999998,,1.074176
12349,86.395419897959187,19072748884327,1,7.3987953364849091,7.112,7.221504,2.7164,14555,0.001024,3.234048,,0.034816,0.164352,0,0.142336,0.0038399999999999997,0.011264,,0.002048,,1.0944
12350,86.402926502267576,19072748955447,1,7.5066043063998222,6.8241,7.37536,2.6235,14555,0.001024,3.2345599999999997,,0.036095999999999996,0.159744,0.000256,0.139008,0.011776,0.010752,,0.002304,,1.3404159999999998
12351,86.410419196428563,19072749023688,1,7.4926940724253654,7.1464,7.408384,2.8226,14555,0.001024,3.24096,,0.034304,0.15488,0,0.134656,0.003584,0.011264,,0.002304,,1.3642239999999999
12352,86.418092602040815,19072749095152,1,7.6734055764973164,7.3838,7.560704,3.6351,14607,0.001024,3.264512,,0.042752,0.163328,0,0.141568,0.0076799999999999993,0.012288,,0.0025599999999999998,,1.26592
12353,86.425101799886619,19072749168990,1,7.00919795781374,8.1506,7.645184,2.8551,14555,0.001024,3.20768,,0.03584,0.16025599999999998,0,0.138752,0.008704,0.012288,,0.002304,,1.423104
12354,86.432336798469379,19072749250496,1,7.2349985130131245,6.9293,6.99392,2.8974,14555,0.001024,3.234048,,0.038655999999999996,0.160512,0,0.140032,0.008192,0.011776,,0.002304,,1.093632
12355,86.439624596088436,19072749319789,1,7.2877975180745125,7.8792,7.209216,3.1692,14555,0.001024,3.286016,,0.035328,0.1664,0.000256,0.144128,0.004352,0.011007999999999999,,0.002304,,1.07392
12356,86.446982901077092,19072749398581,1,7.3583051562309265,6.8857,7.229184,2.923,14555,0.001024,3.28064,,0.035584,0.166656,0,0.145152,0.0051199999999999996,0.011264,,0.002304,,1.093888
12357,86.454092899659855,19072749467438,1,7.1099987253546715,7.3329,7.36896,2.7141,14555,0.001024,3.175424,,0.03968,0.16614399999999999,0,0.143872,0.0076799999999999993,0.012032,,0.002304,,1.256448
12358,86.461638598356,19072749540767,1,7.5456988997757435,7.1519,7.097344,2.7886,14555,0.001024,3.17312,,0.034816,0.158976,0.000256,0.13849599999999998,0.003584,0.011776,,0.002304,,1.095168
12359,86.468900602324254,19072749612286,1,7.2620040737092495,7.3739,7.273472,2.5763,14555,0.001024,3.183616,,0.035328,0.16153599999999999,0,0.13977599999999998,0.003584,0.011519999999999999,,0.0025599999999999998,,1.3455359999999998
