observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
10213,71.305063300736961,19072598002675,1,7.0292023010551929,6.5345,6.59328,0.7796,14607,0.001024,3.288576,,0.033535999999999996,0.164096,0,0.142592,0.004352,0.009984,,0.003072,,1.070336
10214,71.311505399659865,19072598068020,1,6.4420988783240318,7.7387,0.034816,2.8361,14555,0.001024,3.2368639999999997,,0.03456,0.149504,0,0.12953599999999998,0.0076799999999999993,0.010496,,0.0025599999999999998,,1.083648
10215,71.3181554988662,19072598145407,1,6.6500990651547909,5.1667,6.42432,3.0768,14555,0.001024,3.090432,,0.033535999999999996,0.152576,0,0.132352,0.003584,0.011264,,0.002816,,1.065728
10216,71.324572300170061,19072598197074,1,6.4168013632297516,7.3201,6.545664,3.251,14555,0.001024,3.2296959999999997,,0.03328,0.155136,0.000256,0.135424,0.0076799999999999993,0.0097279999999999988,,0.002816,,1.06752
10217,71.331091496598631,19072598270275,1,6.519196555018425,6.1064,6.475008,2.6244,14555,0.001024,3.1808,,0.033791999999999996,0.154112,0,0.133888,0.0076799999999999993,0.012288,,0.002304,,1.067264
10218,71.33774919926303,19072598331339,1,6.657702848315239,6.7454,6.499584,3.1788,14555,0.001024,3.177984,,0.033535999999999996,0.155136,0.000256,0.13568,0.007424,0.011007999999999999,,0.002816,,1.066752
10219,71.3443875,19072598398793,1,6.6383006051182747,5.7928,6.639872,2.5203,14555,0.001024,3.28448,,0.034048,0.15872,0,0.13824,0.011776,0.011264,,0.0025599999999999998,,1.064192
10220,71.350866298185935,19072598456721,1,6.4787981100380421,7.8382,6.614016,2.7282,14555,0.001024,3.288576,,0.033535999999999996,0.152576,0,0.132608,0.010752,0.010496,,0.002304,,1.067264
10221,71.357381299603176,19072598535103,1,6.51500141248107,6.2086,6.455296,2.4802,14555,0.001024,3.101184,,0.033791999999999996,0.159744,0,0.13952,0.0097279999999999988,0.011007999999999999,,0.0025599999999999998,,1.083904
10222,71.363866801303857,19072598597189,1,6.4855017699301243,6.3162,6.419456,3.0838,14555,0.001024,3.105024,,0.033535999999999996,0.157184,0,0.13747199999999998,0.0076799999999999993,0.010239999999999999,,0.0025599999999999998,,1.065472
