observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
14738,116.76214949688209,19073052025075,1,20.618898794054985,21.0241,0.045312,2.24,14555,0.0012799999999999999,16.115455999999998,,0.035328,0.35942399999999997,0,0.34022399999999997,0.0076799999999999993,0.012288,,0.0025599999999999998,,1.030144
14739,116.78216320153061,19073052235316,1,20.013704895973206,18.6806,20.604928,2.8818,14555,0.001024,16.3264,,0.035584,0.34099199999999996,0,0.31923199999999996,0.003584,0.010752,,0.002816,,1.142016
14740,116.80186320153061,19073052422122,1,19.700000062584877,20.7029,20.00384,2.2216,14555,0.001024,16.269824,,0.03968,0.349184,0,0.32972799999999997,0.0076799999999999993,0.011519999999999999,,0.003328,,1.031936
14741,116.821526098356,19073052629151,1,19.662896171212196,20.2729,19.664128,2.1822,14757,0.001024,16.116736,,0.033791999999999996,0.363776,0,0.343296,0.011776,0.010496,,0.0025599999999999998,,1.0304
14742,116.84124360119047,19073052831880,1,19.7175033390522,19.7784,19.653632,2.1748,14555,0.0012799999999999999,16.118016,,0.034048,0.35481599999999996,0,0.334848,0.0084479999999999989,0.011776,,0.002304,,1.03552
14743,116.86116879960316,19073053029664,1,19.925197586417198,19.8083,19.69152,2.1373,14750,0.001024,16.108031999999998,,0.034304,0.374272,0,0.35481599999999996,0.007936,0.012032,,0.0025599999999999998,,1.032448
14744,116.88059569869614,19073053227747,1,19.426899030804634,19.5224,19.908864,1.9151,14555,0.001024,16.329984,,0.034048,0.367616,0.000256,0.347136,0.008192,0.010496,,0.0025599999999999998,,1.031936
14745,116.90025179988662,19073053422971,1,19.656101241707802,19.5063,19.40608,1.9327,14607,0.001024,15.847679999999999,,0.034304,0.33792,0,0.31718399999999997,0.008192,0.011519999999999999,,0.0025599999999999998,,1.03552
14746,116.92005739795918,19073053618034,1,19.805597141385078,20.1388,19.639808,2.0172,14757,0.001024,16.100863999999998,,0.034304,0.334848,0,0.31488,0.0038399999999999997,0.010496,,0.0025599999999999998,,1.0329599999999999
14747,116.94013190192743,19073053819422,1,20.074503496289253,19.147,19.776768,2.5958,14555,0.001024,16.213248,,0.034304,0.35584,0,0.335872,0.007936,0.011264,,0.0025599999999999998,,1.02912
14748,116.95987069869614,19073054010892,1,19.738797098398209,19.7994,20.04864,2.2813,111585,0.001024,16.333824,,0.034304,0.532992,0,0.332544,0.010239999999999999,0.011264,,0.0025599999999999998,,1.0296319999999999
14749,116.97972429846938,19073054208886,1,19.853599369525909,20.1741,19.652864,2.0864,14555,0.001024,16.115455999999998,,0.034048,0.35456,0,0.33433599999999997,0.008192,0.010752,,0.0025599999999999998,,1.030912
14750,116.99969379960316,19073054410627,1,19.969500601291656,19.7067,19.909888,0.5723,14555,0.001024,16.331008,,0.033791999999999996,0.37068799999999996,0,0.35020799999999996,0.008192,0.010752,,0.0025599999999999998,,1.030656
14751,117.01911580215419,19073054607694,1,19.422002136707306,20.5593,0.046848,1.9119,14952,0.001024,15.860736,,0.035584,0.361728,0,0.341248,0.009472,0.011007999999999999,,0.0025599999999999998,,1.03424
14752,117.03852850056688,19073054813287,1,19.412698224186897,18.9456,19.385088,2.3233,14555,0.001024,15.853311999999999,,0.033791999999999996,0.353792,0,0.333312,0.009472,0.012032,,0.002304,,1.031936
14753,117.05820520124716,19073055002743,1,19.676700234413147,20.0991,19.398144,2.1679,14555,0.0012799999999999999,15.842816,,0.034048,0.369664,0,0.350464,0.008192,0.011007999999999999,,0.002304,,1.0311679999999999
14754,117.07785279903628,19073055203734,1,19.647598266601563,19.616,19.657728,2.2129,14555,0.0012799999999999999,16.105216,,0.034048,0.363264,0.000256,0.342784,0.008192,0.012288,,0.0025599999999999998,,1.0304
14755,117.09754720096372,19073055399894,1,19.694402813911438,19.4935,19.6224,2.0434,14555,0.001024,16.096256,,0.034304,0.358912,0,0.33894399999999997,0.0038399999999999997,0.010752,,0.0025599999999999998,,1.03168
14756,117.11747719671202,19073055594829,1,19.929995760321617,19.1843,19.666688,2.2516,14809,0.001024,16.10624,,0.034304,0.36607999999999996,0.000256,0.345856,0.008192,0.011264,,0.0025599999999999998,,1.0304
14757,117.13735489654195,19073055786672,1,19.877700135111809,19.6838,19.91808,1.9401,14555,0.001024,16.33024,,0.034304,0.346368,0.000256,0.325888,0.008192,0.012032,,0.0025599999999999998,,1.035008
14758,117.15706220238094,19073055983510,1,19.707305356860161,19.8256,19.858688,2.0805,20997,0.001024,16.110848,,0.034048,0.33408,0,0.31385599999999997,0.007936,0.011264,,0.0025599999999999998,,1.035008
14759,117.17691079931973,19073056181766,1,19.848596304655075,19.7929,19.673088,2.3068,14750,0.001024,16.098816,,0.034304,0.364544,0,0.34559999999999996,0.008192,0.012032,,0.0025599999999999998,,1.033472
14760,117.1967093962585,19073056379695,1,19.798597320914268,19.9988,19.827456,2.0036,14555,0.001024,16.265728,,0.034304,0.354048,0.000256,0.335872,0.007936,0.010752,,0.002816,,1.03168
14761,117.21655080073695,19073056579683,1,19.841404631733894,19.8951,19.778304,1.9607,111787,0.001024,16.225535999999998,,0.034304,0.366336,0,0.34559999999999996,0.0084479999999999989,0.011264,,0.0025599999999999998,,1.031936
14762,117.23638380102041,19073056778634,1,19.833000376820564,19.5619,19.824384,2.0835,14555,0.001024,16.265472,,0.034816,0.34355199999999997,0,0.32383999999999996,0.008192,0.010496,,0.0025599999999999998,,1.0311679999999999
14763,117.25631590136054,19073056974253,1,19.932100549340248,20.2914,19.811584,0.5528,14555,0.001024,16.267775999999998,,0.034048,0.34815999999999997,0,0.329216,0.008192,0.011007999999999999,,0.0025599999999999998,,1.035008
14764,117.27637310090702,19073057177167,1,20.057199522852898,20.4242,0.044544,2.1793,14555,0.001024,15.904511999999999,,0.037632,0.33792,0,0.318208,0.0038399999999999997,0.010496,,0.0025599999999999998,,1.034752
14765,117.29669559948979,19073057381409,1,20.322497934103012,18.7555,20.032768,2.3622,20339,0.001024,16.269824,,0.040959999999999996,0.36019199999999996,0,0.339968,0.006144,0.011519999999999999,,0.0025599999999999998,,1.036544
14766,117.3162632015306,19073057568964,1,19.567601382732391,20.0436,20.296192,2.2321,14902,0.001024,16.269824,,0.040959999999999996,0.36019199999999996,0,0.339968,0.006144,0.011519999999999999,,0.0025599999999999998,,1.036544
14767,117.33608830073696,19073057769400,1,19.825099036097527,20.1757,19.5648,2.4225,14802,0.001024,15.849984,,0.034304,0.361728,0,0.34227199999999997,0.008192,0.011264,,0.0025599999999999998,,1.02912
14768,117.35577909580499,19073057971157,1,19.690794870257378,20.5499,19.789056,1.9065,20339,0.001024,16.257023999999998,,0.034304,0.33536,0,0.315648,0.007936,0.010752,,0.0025599999999999998,,1.03168
14769,117.37523470096372,19073058176656,1,19.455604255199432,19.0814,19.675648,2.4212,14555,0.001024,15.903744,,0.035584,0.372224,0,0.35148799999999997,0.007424,0.010496,,0.0025599999999999998,,1.035008
14770,117.39519730017007,19073058367470,1,19.962599501013756,20.8137,19.438848,2.0312,28006,0.001024,15.848704,,0.034048,0.374784,0,0.35353599999999996,0.0038399999999999997,0.012032,,0.0025599999999999998,,1.031424
14771,117.41496850198412,19073058575607,1,19.77120153605938,19.3579,19.941888,2.114,14902,0.001024,16.206592,,0.03968,0.34944,0.000256,0.32844799999999996,0.010496,0.011776,,0.002304,,1.028864
14772,117.43484270124716,19073058769186,1,19.874198362231255,18.9899,19.75808,2.127,14555,0.001024,16.215296,,0.034048,0.350976,0.000256,0.33177599999999996,0.0038399999999999997,0.012032,,0.0025599999999999998,,1.0296319999999999
14773,117.4543262967687,19073058959085,1,19.483596086502075,20.4583,19.848704,1.9789,14555,0.001024,16.106496,,0.039424,0.369664,0.000256,0.34944,0.007424,0.010239999999999999,,0.0025599999999999998,,1.031424
14774,117.47440960175736,19073059163668,1,20.08330449461937,19.352,19.45984,1.9022,111585,0.001024,15.915519999999999,,0.034304,0.338176,0,0.318208,0.008192,0.010496,,0.002816,,1.031936
14775,117.49417660147392,19073059357188,1,19.766999408602715,20.0375,20.064256,1.9621,14750,0.001024,16.339712,,0.039936,0.366848,0,0.346624,0.007936,0.010752,,0.0025599999999999998,,1.0344959999999999
14776,117.51438810232426,19073059557563,1,20.21150104701519,19.073,19.74528,0.5885,14555,0.001024,16.215808,,0.03456,0.341504,0.000256,0.322304,0.007936,0.010752,,0.0025599999999999998,,1.031936
14777,117.53434800170068,19073059748293,1,19.959898665547371,20.9361,0.044288,2.1102,14757,0.001024,16.268288,,0.035584,0.353792,0.000256,0.33408,0.0076799999999999993,0.011264,,0.0025599999999999998,,1.0327039999999998
14778,117.55421490221087,19073059957654,1,19.866900518536568,18.7898,19.968,2.1028,14607,0.001024,16.261632,,0.039168,0.35481599999999996,0,0.334592,0.003328,0.011519999999999999,,0.002304,,1.0329599999999999
14779,117.57389859693878,19073060145552,1,19.683694466948509,20.3883,19.848448,1.9736,14555,0.001024,16.097535999999998,,0.039424,0.36224,0.000256,0.342528,0.007424,0.011007999999999999,,0.0025599999999999998,,1.027072
14780,117.59398589852607,19073060349435,1,20.087301731109619,19.951,19.664384,1.9831,14555,0.001024,16.116992,,0.033791999999999996,0.343296,0.000256,0.322816,0.0063999999999999994,0.011519999999999999,,0.0025599999999999998,,1.033472
14781,117.61387230017006,19073060548945,1,19.886402413249016,19.7309,20.069632,2.0107,14555,0.001024,16.352,,0.039168,0.33766399999999996,0,0.31872,0.0076799999999999993,0.011264,,0.0025599999999999998,,1.0311679999999999
14782,117.63381749574829,19073060746254,1,19.945194944739342,19.6277,19.872768,1.9263,14757,0.001024,16.327424,,0.03456,0.345344,0.000256,0.324864,0.0048639999999999994,0.011519999999999999,,0.0025599999999999998,,1.031936
14783,117.6535792020975,19073060942531,1,19.7617057710886,20.3115,19.928576,2.0226,14750,0.001024,16.213248,,0.039424,0.359168,0,0.33971199999999996,0.005632,0.011519999999999999,,0.002816,,1.0329599999999999
14784,117.67357369614513,19073061145646,1,19.994493573904037,19.9138,19.74784,2.029,20997,0.001024,16.212224,,0.033791999999999996,0.36403199999999997,0,0.344064,0.0038399999999999997,0.011264,,0.0025599999999999998,,1.0304
14785,117.6932338010204,19073061344784,1,19.6601040661335,19.9583,19.976704,2.028,14555,0.001024,16.25856,,0.035584,0.359936,0.000256,0.34099199999999996,0.012032,0.010752,,0.0025599999999999998,,1.032192
14786,117.71311919642856,19073061544367,1,19.885394722223282,19.7744,19.630336,2.1535,14555,0.001024,16.110336,,0.034304,0.354048,0,0.333568,0.0038399999999999997,0.010239999999999999,,0.0025599999999999998,,1.034752
14787,117.733325,19073061742111,1,20.205803215503693,19.9421,19.878656,2.0002,111787,0.001024,16.339199999999998,,0.033791999999999996,0.34559999999999996,0,0.325888,0.008192,0.010752,,0.002816,,1.028608
14788,117.75297639597505,19073061941532,1,19.651396200060844,19.5596,20.177408,2.3635,14607,0.001024,16.329728,,0.039168,0.37196799999999997,0,0.351744,0.0076799999999999993,0.011007999999999999,,0.0025599999999999998,,1.030912
14789,117.7740674957483,19073062137128,1,21.091099828481674,19.8962,19.626496,0.6403,14555,0.001024,16.10752,,0.034048,0.34687999999999997,0,0.32767999999999997,0.011264,0.010752,,0.0025599999999999998,,1.033984
14790,117.79354090136054,19073062336090,1,19.473405554890633,21.3184,0.047872,2.1731,14555,0.001024,16.253439999999998,,0.035072,0.35584,0.000256,0.33536,0.007936,0.011519999999999999,,0.0025599999999999998,,1.200896
14791,117.81354139739229,19073062549274,1,20.000496879220009,19.007,19.459584,2.141,14750,0.001024,15.909376,,0.034304,0.37376,0.000256,0.354304,0.008192,0.011264,,0.002816,,1.033472
14792,117.83333939909296,19073062739344,1,19.798001274466515,20.8762,19.962112,2.2037,14757,0.001024,16.257535999999998,,0.039168,0.364544,0,0.345344,0.007424,0.010496,,0.002304,,1.03168
14793,117.85277809665533,19073062948106,1,19.438697025179863,19.9227,19.78752,2.12,14555,0.001024,16.208896,,0.034048,0.364288,0.000256,0.344064,0.008192,0.011519999999999999,,0.0025599999999999998,,1.031936
14794,117.87277949971654,19073063147333,1,20.001403987407684,19.4981,19.415552,2.0725,14555,0.001024,15.854336,,0.034048,0.347392,0,0.327424,0.008192,0.011519999999999999,,0.0025599999999999998,,1.032448
14795,117.89244489795918,19073063342314,1,19.665397703647614,19.4847,19.979776,1.9997,14555,0.001024,16.265728,,0.039168,0.35712,0.000256,0.33766399999999996,0.007424,0.012032,,0.0025599999999999998,,1.030144
14796,117.91226209608843,19073063537161,1,19.817197695374489,19.5749,19.655936,2.0601,14555,0.001024,16.103936,,0.033791999999999996,0.354304,0,0.334848,0.008192,0.010239999999999999,,0.0025599999999999998,,1.0344959999999999
14797,117.93180340136054,19073063732910,1,19.541304558515549,20.0022,19.790848,1.9514,14757,0.001024,16.10496,,0.03584,0.353024,0,0.33305599999999996,0.007424,0.010496,,0.0025599999999999998,,1.033472
14798,117.95185379818594,19073063932932,1,20.050397142767906,19.6904,19.5136,2.0091,14555,0.001024,15.953152,,0.034304,0.34944,0.000256,0.329216,0.0084479999999999989,0.011776,,0.0025599999999999998,,1.03168
14799,117.97175330215418,19073064129836,1,19.899504259228706,19.7486,20.02048,2.5057,14802,0.001024,16.210432,,0.03968,0.3776,0,0.35814399999999996,0.0076799999999999993,0.011776,,0.0025599999999999998,,1.032192
14800,117.99157189625849,19073064327322,1,19.818594679236412,20.544,19.878144,2.5282,111585,0.001024,16.351232,,0.034304,0.342016,0,0.322304,0.009216,0.011519999999999999,,0.0025599999999999998,,1.036544
14801,118.01168799603174,19073064532762,1,20.116100087761879,20.9287,19.769088,2.6159,14555,0.001024,16.207359999999998,,0.034048,0.355072,0,0.33408,0.00896,0.011519999999999999,,0.0025599999999999998,,1.028352
14802,118.03199900085033,19073064742049,1,20.311005413532257,18.9643,20.111872,1.2669,14757,0.001024,16.239103999999998,,0.039168,0.33433599999999997,0,0.31385599999999997,0.007936,0.010239999999999999,,0.002816,,1.033472
14803,118.05196919642857,19073064931692,1,19.97019536793232,25.6231,0.047616,2.8675,14555,0.001024,16.270592,,0.039168,0.334592,0.000256,0.314112,0.009216,0.011776,,0.0025599999999999998,,1.027072
14804,118.0714327026644,19073065187923,1,19.46350559592247,15.6947,19.968256,2.6089,14555,0.001024,16.214527999999998,,0.039168,0.373504,0,0.35328,0.0076799999999999993,0.010239999999999999,,0.0025599999999999998,,1.033728
14805,118.09146780045351,19073065344870,1,20.035097375512123,20.5003,19.443712,2.3027,14555,0.001024,15.858431999999999,,0.03456,0.362496,0.000256,0.342016,0.008704,0.011007999999999999,,0.0025599999999999998,,1.0362879999999999
14806,118.11113949829931,19073065549873,1,19.671697169542313,18.3035,20.016128,2.1003,14555,0.001024,15.918847999999999,,0.03968,0.37452799999999997,0,0.354048,0.007424,0.010239999999999999,,0.0025599999999999998,,1.346048
14807,118.13102269699546,19073065732908,1,19.883198663592339,19.0548,19.644672,2.1284,14952,0.001024,16.097792,,0.03456,0.35584,0.000256,0.33664,0.007936,0.010752,,0.0025599999999999998,,1.030912
14808,118.15120700113378,19073065923456,1,20.184304565191269,19.8368,19.799296,2.1033,14555,0.001024,16.254208,,0.033791999999999996,0.363264,0,0.34227199999999997,0.008192,0.010752,,0.0025599999999999998,,1.033728
14809,118.1706512967687,19073066121824,1,19.444296136498451,19.7756,20.216832,2.0949,14555,0.001024,16.326656,,0.039424,0.527616,0.000256,0.316416,0.009216,0.011264,,0.002304,,1.030656
14810,118.19025469812925,19073066319580,1,19.60340142250061,19.7269,19.434752,2.1001,21049,0.001024,15.854591999999998,,0.034304,0.374784,0,0.354304,0.008192,0.010752,,0.002816,,1.0311679999999999
14811,118.21017220096371,19073066516849,1,19.917502999305725,20.4127,19.583232,1.9876,14555,0.001024,15.860223999999999,,0.039936,0.346368,0,0.32639999999999997,0.008192,0.010752,,0.0025599999999999998,,1.02912
14812,118.23019360119046,19073066720976,1,20.021399483084679,19.2471,19.898368,2.0734,14757,0.001024,16.34176,,0.034304,0.343808,0.000256,0.324864,0.008192,0.010752,,0.002304,,1.032192
